label,area,bbox_area,centroid-0,centroid-1,centroid-2,equivalent_diameter_area,extent,mean_intensity,max_intensity,min_intensity,volume,compactness,timepoint,subfolder
8,1676.0,4692.0,7.551909307875895,474.00894988066824,244.91408114558473,14.737544540870738,0.35720375106564367,0.44568097591400146,1.0,0.006187161430716515,1676.0,2.7995226713606667,2,01
9,835.0,2142.0,7.826347305389222,152.21676646706587,379.8574850299401,11.683221694912383,0.38982259570494865,0.4041185975074768,1.0,0.0072183553129434586,835.0,2.565269458005665,2,01
10,275.0,1020.0,7.516363636363637,164.10545454545453,402.4581818181818,8.068225425138188,0.2696078431372549,0.4195701479911804,1.0,0.008249549195170403,275.0,3.709090895603306,2,01
11,856.0,2145.0,7.7733644859813085,192.94509345794393,101.91471962616822,11.780355073595846,0.3990675990675991,0.40257298946380615,1.0,0.006187161430716515,856.0,2.505841118567943,2,01
12,682.0,1260.0,7.887096774193548,200.3475073313783,146.32991202346042,10.920987686853714,0.5412698412698412,0.4379768371582031,1.0,0.009796339087188244,682.0,1.8475073286693442,2,01
13,1040.0,4128.0,7.885576923076923,228.57403846153846,267.7855769230769,12.570278670383807,0.25193798449612403,0.3426450192928314,1.0,0.0087651452049613,1040.0,3.969230765414201,2,01
14,1025.0,2100.0,8.040975609756098,268.09073170731705,432.47024390243905,12.509551739347586,0.4880952380952381,0.41201314330101013,1.0,0.009796339087188244,1025.0,2.0487804858060676,2,01
15,651.0,2160.0,8.944700460829493,321.87403993855605,6.572964669738863,10.752945766886826,0.3013888888888889,0.7145934104919434,1.0,0.013405516743659973,651.0,3.317972345133683,2,01
16,500.0,1020.0,9.124,467.932,45.416,9.847450218426964,0.49019607843137253,0.840684175491333,1.0,0.03042021207511425,500.0,2.03999999592,2,01
17,1228.0,4292.0,10.530944625407166,247.06270358306188,308.4812703583062,13.286173358438234,0.28611369990680335,0.49816977977752686,1.0,0.009796339087188244,1228.0,3.4951140036684736,2,01
18,850.0,2145.0,12.271764705882353,194.48235294117646,45.59058823529412,11.752766319033764,0.3962703962703963,0.5907532572746277,1.0,0.009280742146074772,850.0,2.5235294087958478,2,01
19,561.0,1560.0,11.572192513368984,252.76114081996434,41.800356506238856,10.232649057053917,0.3596153846153846,0.35314521193504333,1.0,0.0077339522540569305,561.0,2.780748658144833,2,01
20,290.0,624.0,13.251724137931035,212.52068965517242,37.148275862068964,8.21233124834642,0.46474358974358976,0.6215225458145142,1.0,0.021139468997716904,290.0,2.151724130511296,2,01
21,662.0,1400.0,13.971299093655588,411.7356495468278,452.9712990936556,10.813172279226256,0.47285714285714286,0.6318413019180298,1.0,0.02268625982105732,662.0,2.114803622183076,2,01
22,411.0,1581.0,14.459854014598541,419.9002433090024,478.62773722627736,9.22460403489074,0.25996204933586337,0.5756136178970337,1.0,0.03557617962360382,411.0,3.8467153191077488,2,01
23,1078.0,2470.0,16.29499072356215,377.72634508348796,389.88682745825605,12.721550497604335,0.43643724696356273,0.6028754115104675,1.0,0.015983501449227333,1078.0,2.2912801462975136,2,01
24,248.0,468.0,15.637096774193548,380.88709677419354,15.173387096774194,7.795028119251512,0.5299145299145299,0.3814886212348938,1.0,0.02062387205660343,248.0,1.8870967665842873,2,01
25,730.0,1530.0,17.765753424657536,441.85616438356163,167.61780821917807,11.171412268726133,0.477124183006536,0.8045916557312012,1.0,0.10311935842037201,730.0,2.0958904080878216,2,01
26,344.0,1701.0,15.473837209302326,480.0813953488372,412.6046511627907,8.69333882630764,0.2022339800117578,0.537124514579773,1.0,0.018045887351036072,344.0,4.944767427486141,2,01
27,592.0,1584.0,20.39864864864865,188.23986486486487,394.74155405405406,10.417760320323566,0.37373737373737376,0.6822591423988342,1.0,0.01237432286143303,592.0,2.675675671155953,2,01
28,157.0,406.0,19.828025477707005,163.45222929936307,184.84076433121018,6.693198063015236,0.3866995073891626,0.24837970733642578,0.770817220211029,0.019592678174376488,157.0,2.5859872446752403,2,01
29,850.0,3200.0,20.98,169.42470588235295,325.3529411764706,11.752766319033764,0.265625,0.3740118145942688,1.0,0.010827532969415188,850.0,3.7647058779238756,2,01
30,802.0,1840.0,21.066084788029926,172.38154613466335,367.0785536159601,11.527237698368333,0.4358695652173913,0.42177489399909973,1.0,0.010827532969415188,802.0,2.294264336291441,2,01
31,926.0,5032.0,21.454643628509718,214.90820734341253,318.6403887688985,12.09309472732076,0.18402225755166932,0.3920518159866333,1.0,0.012889919802546501,926.0,5.4341252641100155,2,01
32,593.0,1848.0,21.35919055649241,239.48735244519392,343.6610455311973,10.42362287660895,0.3208874458874459,0.5505821704864502,1.0,0.01134312991052866,593.0,3.1163574989606113,2,01
33,630.0,1980.0,22.07936507936508,377.4,325.5492063492064,10.63605666387316,0.3181818181818182,0.3261477053165436,1.0,0.011858726851642132,630.0,3.142857137868481,2,01
34,25.0,88.0,23.0,500.52,277.4,3.627831678597809,0.2840909090909091,0.3206805884838104,0.6635730862617493,0.128383606672287,25.0,3.5199998592000057,2,01
1,608.0,2208.0,7.786184210526316,355.66611842105266,288.3092105263158,10.510780959423116,0.2753623188405797,0.47762513160705566,1.0,0.009786248207092285,608.0,3.6315789413954294,3,01
2,1063.0,1800.0,7.93038570084666,395.7206020696143,140.68767638758231,12.662269346205544,0.5905555555555555,0.5310431122779846,1.0,0.009786248207092285,1063.0,1.6933207886234045,3,01
3,805.0,4752.0,7.3478260869565215,421.78509316770186,362.0944099378882,11.541592928267413,0.16940235690235692,0.46496763825416565,1.0,0.00566572230309248,805.0,5.9031055827290615,3,01
4,832.0,2408.0,7.758413461538462,423.2199519230769,102.00841346153847,11.669213022370872,0.34551495016611294,0.4677724838256836,1.0,0.008756116032600403,832.0,2.8942307657521265,3,01
5,2147.0,5481.0,8.574289706567303,427.2934326967862,464.0833721471821,16.005815534169137,0.39171683999270207,0.6862032413482666,1.0,0.01133144460618496,2147.0,2.5528644608510183,3,01
6,1253.0,4608.0,8.29928172386273,464.87470071827613,40.020750199521146,13.375729670417403,0.2719184027777778,0.6461058855056763,1.0,0.008241050876677036,1253.0,3.677573819890204,3,01
7,1694.0,6240.0,7.6092089728453365,480.79634002361274,248.88547815820544,14.790116488581807,0.27147435897435895,0.4236988425254822,1.0,0.008241050876677036,1694.0,3.6835891359601005,3,01
8,930.0,1800.0,7.983870967741935,152.13225806451612,377.294623655914,12.110482378481334,0.5166666666666667,0.4190851151943207,1.0,0.007210919167846441,930.0,1.9354838688865765,3,01
9,41.0,176.0,7.853658536585366,166.8048780487805,399.1951219512195,4.278206515598402,0.23295454545454544,0.4837408661842346,1.0,0.012361575849354267,41.0,4.292682822129687,3,01
10,855.0,1320.0,7.977777777777778,186.03859649122808,101.30760233918129,11.775765920395354,0.6477272727272727,0.42259809374809265,1.0,0.008241050876677036,855.0,1.5438596473171233,3,01
11,782.0,2958.0,7.943734015345268,201.89769820971867,151.7173913043478,11.430609199053555,0.26436781609195403,0.43395861983299255,1.0,0.007210919167846441,782.0,3.7826086908150782,3,01
12,27.0,108.0,7.2592592592592595,217.59259259259258,24.59259259259259,3.7221029453964,0.25,0.20778129994869232,0.5871748924255371,0.014936904422938824,27.0,3.9999998518518574,3,01
13,919.0,3960.0,7.919477693144723,237.620239390642,12.408052230685527,12.062545458578,0.23207070707070707,0.5282673835754395,1.0,0.007725985255092382,919.0,4.309031551350347,3,01
14,902.0,1950.0,8.005543237250555,229.9390243902439,266.96563192904654,11.987702921372863,0.4625641025641026,0.3897225260734558,1.0,0.007725985255092382,902.0,2.161862525319443,3,01
15,1048.0,2600.0,8.103053435114504,267.48854961832063,432.9074427480916,12.602427860705838,0.40307692307692305,0.41643598675727844,1.0,0.005150656681507826,1048.0,2.480916028167065,3,01
16,546.0,1938.0,8.683150183150182,319.5659340659341,8.41941391941392,10.140623847654274,0.28173374613003094,0.6569851040840149,1.0,0.010301313363015652,546.0,3.5494505429497245,3,01
17,26.0,126.0,7.961538461538462,465.34615384615387,342.2692307692308,3.6755717806481094,0.20634920634920634,0.7649022340774536,1.0,0.15967035293579102,26.0,4.846153659763321,3,01
