dataset,sample,timepoint,mean_radius,median_radius,max_radius,min_radius,sd_radius,p25_radius,p75_radius,p90_radius,p95_radius,n_leader_cells,mean_leader_radius,radius_skewness,radius_kurtosis,dispersion_index,mean_nn_dist,median_nn_dist,sd_nn_dist,mean_volume,sd_volume,mean_compactness,sd_compactness,mean_extent,sd_extent,cell_count,invasion_volume,cell_density
test,2,10,162.21494126510655,163.79274035775418,344.0829705107799,59.54970900119213,63.559851918065405,114.22122035485344,201.30586633593865,244.34495034366546,254.2079673832182,5.0,275.8094943658472,0.4431791503164811,-0.10461940304980999,2.1211546102183516,28.127762106021525,22.673055066134427,24.831800008208898,588.1590909090909,478.1814359941077,3.9475277594729685,2.082992338727997,0.31514245378631955,0.14264235777070894,44.0,170638940.5136175,2.578543904900105e-07
test,2,11,162.91074450666773,165.02402841195905,342.9530755490244,71.54685362020435,60.90326697923549,120.36568671692481,194.1641687745702,227.7318529559138,270.8475058804201,5.0,278.8023556989697,0.7219026914015083,0.3714810328876661,2.1051593410095046,28.6829661548349,19.467774425392037,25.961891071419192,621.1463414634146,541.2509843397798,3.9629921041274496,2.235247292251723,0.31845898296909975,0.14325654484101635,41.0,168963429.12900534,2.426560600205153e-07
train,1,0,188.65268515766837,194.7237744797251,300.9789478620365,72.91004919616609,53.31974221239507,150.28658938432704,231.1846714657724,246.9853251778852,253.66263460403562,4.0,265.5297850248768,-0.24997938763842564,-0.6959347023651952,1.595413007827004,36.98066800045701,30.60703864266458,19.714073891300227,681.3947368421053,410.65830732733986,3.0378926911645356,1.1567339869120354,0.37709461953465884,0.14071767239842545,38.0,114208116.25978766,3.327259151491643e-07
train,1,1,186.8483643203175,199.34007134917118,255.8332574978898,71.91005916035432,49.232919028267794,150.14845238552223,229.76924687290952,241.00467874615924,245.32330900939849,4.0,248.64369012393283,-0.4854196951773081,-0.8546411314251539,1.369202553249598,36.040642815029685,32.44276633142708,17.416196310899686,676.8611111111111,424.85420375046834,3.0936759316190336,1.1435575080654659,0.3620776064687023,0.11630021818240566,36.0,70139006.7354788,5.132664643480034e-07
train,1,2,183.71844626410217,191.9150976297292,257.16199948590554,67.70343377364544,51.193010692368134,151.42140141722783,230.5813602883494,241.27000326880076,248.84232399031524,4.0,249.6691553927868,-0.5123407409994989,-0.680332262542275,1.3997614540906007,38.99630751961011,39.05045252283986,16.508818118752426,758.2647058823529,409.42178805574014,3.120787954946775,1.0358315266607028,0.3508172782693262,0.10066822556686611,34.0,71237552.62216891,4.772763626556607e-07
train,1,3,186.09376275624697,193.40868619818798,259.5650642092952,65.81870778120307,50.64712962951301,155.8300560546121,233.21712632463965,240.7622151161995,252.39126436147495,4.0,251.6867067505015,-0.5510127577257921,-0.5613980638729825,1.3948079740280381,39.69687102685229,42.55595446804219,18.73236002088285,705.9722222222222,459.06709662787773,3.2111650229622137,1.2335560222201223,0.364871844976342,0.15464422900944144,36.0,73253322.20942274,4.914452875881886e-07
train,1,4,184.11596423158025,196.17166278336234,294.2502180912167,95.5113030579599,51.00689494165414,145.44020657856362,209.04116498353355,243.84689495106946,271.25449894800573,6.0,273.1592108967845,0.06113938685642217,-0.6621103313165118,1.5981787311018292,27.07929857054191,23.702294028823623,18.027195827392134,509.1509433962264,468.5022943965826,3.247902957880276,1.9498947490048741,0.3801442707407182,0.1427006616680605,53.0,106718322.38756564,4.966344936300772e-07
train,1,5,185.034902007118,196.7768443224885,287.808327316541,95.95566704141682,46.655915292652374,147.0481460290452,212.7926892076755,237.5020562746702,259.66664977720825,5.0,262.8134879567166,-0.01610771073046971,-0.5450472375508961,1.5554272420749544,28.600804285447374,26.32636560120679,18.408855529652257,546.4565217391304,439.70685722405454,3.2917141782454276,2.008672803458685,0.3869272625166838,0.16255347938768064,46.0,99861635.77303132,4.6063735731858277e-07
train,1,6,189.78862560494363,194.69283095464655,296.15453616934934,97.93569797984816,49.21758230566025,150.10154851713597,219.02459731108544,246.79208079336343,269.09844616353877,5.0,272.6980344693658,-0.06065172642825484,-0.5676502249703419,1.5604440741660288,29.27664993074553,24.061493477592258,19.739075723523122,570.0208333333334,448.5131696912866,3.2594172656005633,1.9700551065854581,0.3820405411226176,0.1471476747374235,48.0,108803728.11058545,4.4116135387579707e-07
train,1,7,186.01906185002943,202.77887002102466,266.9004170942185,60.43508186723431,52.02306659703019,134.85092198076225,231.9774388565759,243.99366675115618,250.12938963978763,6.0,251.73427106356078,-0.3260471938649086,-1.168754041969784,1.4348014361527985,26.610633275702714,21.32333980681567,16.190681594631297,533.8039215686274,485.2086981746244,3.216050179909451,1.8682323251050343,0.3887322849493883,0.162279999274638,51.0,79640938.05135368,6.4037417498918e-07
